symbol,date,stock_price,dividends,yield
AALR3,2019,18.0108642578125,0.027763,0.001541458510962757
AALR3,2020,11.100000381469727,0.087297,0.007864594324314897
ABCB4,2017,11.006453514099121,1.0368789999999999,0.0942064579359529
ABCB4,2018,11.69043254852295,1.035584,0.08858389077578169
ABCB4,2019,14.98586654663086,1.068441,0.07129657779050542
ABCB4,2020,12.084468841552734,0.632518,0.052341398558211495
ABCB4,2021,13.143231391906738,0.983183,0.07480527205854556
ABCB4,2022,17.527973175048828,1.254774,0.07158694205364133
ABCB4,2023,24.103986740112305,1.192481,0.04947235545958668
ABCB4,2024,22.40999984741211,0.741,0.033065595941339114
ABEV3,2017,16.916227340698242,0.54,0.031922011280897736
ABEV3,2018,12.625370979309082,0.55,0.04356307635643816
ABEV3,2019,15.728646278381348,0.4906,0.031191495524590572
ABEV3,2020,13.533036231994629,0.4137,0.030569636621672218
ABEV3,2021,13.920564651489258,0.6803,0.04887014406611874
ABEV3,2022,13.798742294311523,0.7623,0.05524416528267617
ABEV3,2023,13.729999542236328,0.7302,0.053182813135117246
AERI3,2022,22.600000381469727,0.020702,9.160176836534064e-4
AESB3,2021,10.80749225616455,0.224541,0.020776420160923334
AESB3,2022,9.58191204071045,0.106876,0.011153932487161058
AESB3,2024,9.699999809265137,0.074612,0.00769195891413657
AFLT3,2017,4.065085411071777,0.218563,0.053765905976960744
AFLT3,2018,4.682164192199707,0.180516,0.03855396619809537
AFLT3,2019,9.426307678222656,0.105651,0.011208100096720018
AFLT3,2020,8.780604362487793,0.468666,0.05337514146545759
AFLT3,2021,8.176545143127441,0.31305700000000003,0.038287197651337014
AFLT3,2022,8.759031295776367,0.236234,0.02697033404982955
AFLT3,2023,8.220701217651367,0.114065,0.013875337027829369
AFLT3,2024,7.179999828338623,0.341354,0.04754234096952419
AGRO3,2017,7.491540431976318,0.241108,0.03218403507119484
AGRO3,2018,9.866266250610352,0.762051,0.07723803317722727
AGRO3,2019,12.676004409790039,0.92933,0.0733141114468414
AGRO3,2020,17.20906639099121,0.709664,0.041237797790791404
AGRO3,2021,21.79621124267578,2.621181,0.1202585610322895
AGRO3,2022,26.77106285095215,5.254966,0.19629276690496059
AGRO3,2023,26.709999084472656,3.212353,0.1202678064435966
AGXY3,2022,9.80373764038086,0.167864,0.01712244922881053
AGXY3,2023,3.630000114440918,0.039657,0.010924793044010098
ALLD3,2021,12.00927448272705,0.7609520000000001,0.06336369454245366
ALLD3,2022,4.658609867095947,0.924982,0.19855322218183705
ALLD3,2023,6.650082111358643,0.965452,0.14517895927194102
ALLD3,2024,7.079999923706055,1.069763,0.15109647055476635
ALOS3,2024,21.3700008392334,1.119397,0.05238170126530308
ALPA3,2017,13.074678421020508,0.247817,0.01895396521581579
ALPA3,2018,12.914551734924316,0.343015,0.02656034890257925
ALPA3,2020,37.656246185302734,0.05019,0.001332846608050624
ALPA3,2021,30.85167694091797,0.247202,0.00801259524639132
ALPA3,2022,11.899999618530273,0.148322,0.012464034012995938
ALPA4,2017,13.347281455993652,0.27238799999999996,0.020407751263661483
ALPA4,2018,13.434799194335938,0.377027,0.028063463736693082
ALPA4,2020,41.50505447387695,0.055166,0.0013291393228918942
ALPA4,2021,36.82841491699219,0.271712,0.007377781547547282
ALPA4,2022,15.079999923706055,0.163028,0.010810875386260235
ALUP3,2017,5.720956802368164,0.164258,0.02871163088174449
ALUP3,2018,5.564065933227539,0.230769,0.04147488595019905
ALUP3,2019,8.622422218322754,0.144231,0.01672743416502005
ALUP3,2020,6.942659378051758,0.221154,0.03185436415030633
ALUP3,2021,6.487969398498535,0.269231,0.04149695898108062
ALUP3,2022,7.713144302368164,0.394231,0.051111581029147785
ALUP3,2023,9.787075996398926,0.6,0.06130533779657633
ALUP3,2024,9.779999732971191,0.26,0.026584867801526132
ALUP4,2017,3.7324769496917725,0.164258,0.04400777344748623
ALUP4,2018,3.9926705360412598,0.230769,0.05779815737784563
ALUP4,2019,6.312571048736572,0.144231,0.022848218085223304
ALUP4,2020,6.8918914794921875,0.221154,0.03208901368486075
ALUP4,2021,6.4357991218566895,0.269231,0.04183334422071403
ALUP4,2022,8.02514934539795,0.394231,0.04912444404864231
ALUP4,2023,9.930929183959961,0.6,0.06041730727161925
ALUP4,2024,9.739999771118164,0.26,0.02669404580182569
AMBP3,2021,37.376556396484375,0.084811,0.0022690961441267847
AMBP3,2022,18.684200286865234,0.272756,0.014598216450919986
AMBP3,2023,16.25,0.120678,0.007426338461538461
AMER3,2022,9.649999618530273,0.620963,0.06434849995305748
ANIM3,2017,9.32268238067627,0.020633,0.002213204221433883
ANIM3,2018,5.664674282073975,0.084533,0.01492283506352821
ANIM3,2019,9.930000305175781,0.0023,2.31621342327772e-4
APER3,2020,30.590965270996094,0.049939,0.0016324754566456312
APER3,2022,26.681041717529297,0.06923,0.0025947262754181096
APER3,2023,43.38999938964844,0.323684,0.007459875652296538
ARML3,2021,24.711685180664063,0.067263,0.002721910687524892
ARML3,2022,11.423124313354492,0.406745,0.03560715867588734
ARML3,2023,16.7871150970459,0.170819,0.010175601883498121
ARML3,2024,10.640000343322754,0.204844,0.01925225501788184
ARZZ3,2017,48.12654495239258,1.64869,0.0342573937445729
ARZZ3,2018,49.79570007324219,1.284822,0.025801866388266752
ARZZ3,2019,59.438297271728516,1.410794,0.02373543766824956
ARZZ3,2020,63.865909576416016,0.530726,0.008310004562997457
ARZZ3,2021,72.75826263427734,0.927038,0.012741343270657766
ARZZ3,2022,75.98924255371094,1.835629,0.024156432388473082
